"variable","type","description"
"date","character","The date: May 1 - June 1."
"city","integer","ID for the cities included in the geo-experiment."
"region","character","Region of the country in which the city is located."
"treated","integer","A variable indicating whether a given city was in the treatment group."
"tau","numeric","The true effect of the advertising for treatment cities during the treatment period (for checking the causal estimate)."
"downloads","numeric","The number of app downloads recorded in a given city on a given date"
"post","integer","An indicator variable for the treatment period: 0 for May 1 - 14; 1 for May 15 - June 1."
